gratis	gratis	adverbe
graphed	graph	verb:simple_past+transitive
graphed	graph	verb:past_participle+transitive
graphing	graph	verb:present_participle+transitive
genus	genus	noun
gaku-ran	gaku-ran	noun
gaku-ran	gaku-ran	verb:simple_present+
gaku-rans	gaku-ran	verb:simple_present+
???	gaku-ran	verb:simple_past+
???	gaku-ran	verb:past_participle+
???	gaku-ran	verb:present_participle+
gift	gift	noun
gifts	gift	noun:plural
gift	gift	verb:simple_present+transitive
gifts	gift	verb:simple_present+transitive
gifted	gift	verb:simple_past+transitive
gifted	gift	verb:past_participle+transitive
gifting	gift	verb:present_participle+transitive
grue	grue	verb:simple_present+intransitive
grues	grue	verb:simple_present+intransitive
grued	grue	verb:simple_past+intransitive
grued	grue	verb:past_participle+intransitive
gruing	grue	verb:present_participle+intransitive
grue	grue	noun
grues	grue	noun:plural
grue	grue	adjective
gigametre	gigametre	noun
gallium	gallium	noun
germanium	germanium	noun
gadolinium	gadolinium	noun
ga	ga	proper noun
ga	ga	noun
ga	ga	conjonction
gramme	gramme	noun
grammes	gramme	noun:plural
gipim	gipim	verb:simple_present+transitive
gipims	gipim	verb:simple_present+transitive
???	gipim	verb:simple_past+transitive
???	gipim	verb:past_participle+transitive
???	gipim	verb:present_participle+transitive
gut	gut	noun
guts	gut	noun:plural
gut	gut	verb:simple_present+transitive
guts	gut	verb:simple_present+transitive
???	gut	verb:simple_past+transitive
???	gut	verb:past_participle+transitive
???	gut	verb:present_participle+transitive
gut	gut	adjective
generative	generative	adjective
generator	generator	noun
generatrix	generatrix	noun
generic	generic	adjective
generic	generic	noun
generical	generical	adjective
generically	generically	adverbe
googolplex	googolplex	noun
googolplex	googolplex	verb:simple_present+
googolplexs	googolplex	verb:simple_present+
???	googolplex	verb:simple_past+
???	googolplex	verb:past_participle+
???	googolplex	verb:present_participle+
grove	grove	noun
gnash	gnash	verb:simple_present+
gnashs	gnash	verb:simple_present+
gnashed	gnash	verb:simple_past+
gnashed	gnash	verb:past_participle+
gnashing	gnash	verb:present_participle+
gash	gash	noun
gamble	gamble	verb:simple_present+intransitive
gambles	gamble	verb:simple_present+intransitive
gambled	gamble	verb:simple_past+intransitive
gambled	gamble	verb:past_participle+intransitive
gambling	gamble	verb:present_participle+intransitive
gamble	gamble	noun
gambles	gamble	noun:plural
gamble	gamble	verb:simple_present+intransitive
gambles	gamble	verb:simple_present+intransitive
gambled	gamble	verb:simple_past+intransitive
gambled	gamble	verb:past_participle+intransitive
gambling	gamble	verb:present_participle+intransitive
gamble	gamble	verb:simple_present+transitive
gambles	gamble	verb:simple_present+transitive
gambled	gamble	verb:simple_past+transitive
gambled	gamble	verb:past_participle+transitive
gambling	gamble	verb:present_participle+transitive
guria	guria	noun
guria	guria	verb:simple_present+intransitive
gurias	guria	verb:simple_present+intransitive
guriad	guria	verb:simple_past+intransitive
guriad	guria	verb:past_participle+intransitive
guriing	guria	verb:present_participle+intransitive
grapes	grapes	noun
grapeshot	grapeshot	noun
gunshot	gunshot	noun
gnu	gnu	noun
gnus	gnu	noun:plural
gasoline	gasoline	noun
gasolines	gasoline	noun:plural
gear	gear	noun
gear	gear	verb:simple_present+
gears	gear	verb:simple_present+
geared	gear	verb:simple_past+
geared	gear	verb:past_participle+
gearing	gear	verb:present_participle+
gear	gear	interjection
Glasgow	Glasgow	proper noun
guernsey	guernsey	proper noun
genetic	genetic	adjective
grandee	grandee	noun
Gerard	Gerard	proper noun
glossary	glossary	noun
good-for-nothing	good-for-nothing	noun
goldsmith	goldsmith	noun
glass	glass	noun
glass	glass	adjective
glass	glass	verb:simple_present+transitive
glasss	glass	verb:simple_present+transitive
glassed	glass	verb:simple_past+transitive
glassed	glass	verb:past_participle+transitive
glassing	glass	verb:present_participle+transitive
glassing	glass	verb:present_participle
glass	glass	interjection
Georgian	Georgian	noun
Georgian	Georgian	adjective
gambian	gambian	noun
gambian	gambian	adjective
guatemalan	guatemalan	noun
guatemalan	guatemalan	adjective
Gabonese	Gabonese	noun
Gabonese	Gabonese	adjective
gorizia	gorizia	proper noun
grosseto	grosseto	proper noun
grenadian	grenadian	noun
grenadian	grenadian	adjective
guamanian	guamanian	noun
guamanian	guamanian	adjective
guyanese	guyanese	noun
guyanese	guyanese	adjective
goalie	goalie	noun
Greenlander	Greenlander	noun
Greenlandic	Greenlandic	adjective
Greenlandic	Greenlandic	noun
ghanaian	ghanaian	noun
ghanaian	ghanaian	adjective
greeklish	greeklish	noun
Guadeloupean	Guadeloupean	noun
Guadeloupean	Guadeloupean	adjective
guitarist	guitarist	noun
goal	goal	noun
goals	goal	noun:plural
grain	grain	noun
glyph	glyph	noun
garlic	garlic	noun
genealogist	genealogist	noun
gym	gym	noun
grid	grid	noun
gymnasium	gymnasium	noun
gymnasiums	gymnasium	noun:plural
ginger	ginger	noun
ginger	ginger	adjective
Ghent	Ghent	proper noun
gabrovo	gabrovo	proper noun
glitch	glitch	noun
gabardine	gabardine	noun
gaberdine	gaberdine	noun
great-granddaughter	great-granddaughter	noun
Gaul	Gaul	proper noun
Gauls	Gaul	proper noun:plural
graphite	graphite	noun
goldfish	goldfish	noun
grease	grease	noun
grease	grease	verb:simple_present+
greases	grease	verb:simple_present+
greased	grease	verb:simple_past+
greased	grease	verb:past_participle+
greasing	grease	verb:present_participle+
gazelle	gazelle	noun
gazelles	gazelle	noun:plural
Gothic	Gothic	noun
Gothic	Gothic	adjective
Gothic	Gothic	adjective
galah	galah	noun
galahs	galah	noun:plural
guess	guess	verb:simple_present+
guesss	guess	verb:simple_present+
guessed	guess	verb:simple_past+
guessed	guess	verb:past_participle+
guessing	guess	verb:present_participle+
guessing	guess	verb:present_participle
guess	guess	noun
guesses	guess	noun:plural
guest	guest	noun
guests	guest	noun:plural
guest	guest	verb:simple_present+intransitive
guests	guest	verb:simple_present+intransitive
guested	guest	verb:simple_past+intransitive
guested	guest	verb:past_participle+intransitive
guesting	guest	verb:present_participle+intransitive
grasp	grasp	verb:simple_present+
grasps	grasp	verb:simple_present+
grasped	grasp	verb:simple_past+
grasped	grasp	verb:past_participle+
grasping	grasp	verb:present_participle+
grasping	grasp	verb:present_participle
grasp	grasp	noun
gauze	gauze	noun
gauzes	gauze	noun:plural
gaunt	gaunt	adjective
gauntlet	gauntlet	noun
gozo	gozo	proper noun
glad	glad	adjective
ghetto	ghetto	noun
ghettos	ghetto	noun:plural
ghost	ghost	noun
ghosts	ghost	noun:plural
gelderland	gelderland	proper noun
Groningen	Groningen	proper noun
great	great	adjective
grate	grate	noun
grates	grate	noun:plural
grate	grate	verb:simple_present+transitive
grates	grate	verb:simple_present+transitive
grated	grate	verb:simple_past+transitive
grated	grate	verb:past_participle+transitive
grating	grate	verb:present_participle+transitive
grate	grate	verb:simple_present+intransitive
grates	grate	verb:simple_present+intransitive
grated	grate	verb:simple_past+intransitive
grated	grate	verb:past_participle+intransitive
grating	grate	verb:present_participle+intransitive
grater	grater	noun
graters	grater	noun:plural
greater	greater	adjective
Gujarati	Gujarati	noun
gabe	gabe	preposition
gab	gab	noun
gab	gab	verb:simple_present+
gabs	gab	verb:simple_present+
???	gab	verb:simple_past+
???	gab	verb:past_participle+
???	gab	verb:present_participle+
glean	glean	verb:simple_present+
gleans	glean	verb:simple_present+
gleaned	glean	verb:simple_past+
gleaned	glean	verb:past_participle+
gleaning	glean	verb:present_participle+
glut	glut	noun
goujon	goujon	noun
gale	gale	noun
griffin	griffin	noun
gradian	gradian	noun
guard	guard	noun
guards	guard	noun:plural
guard	guard	verb:simple_present+
guards	guard	verb:simple_present+
guarded	guard	verb:simple_past+
guarded	guard	verb:past_participle+
guarding	guard	verb:present_participle+
gar	gar	noun
grasshopper	grasshopper	noun
grasshoppers	grasshopper	noun:plural
gander	gander	noun
gosling	gosling	noun
grub	grub	noun
grubs	grub	noun:plural
grub	grub	verb:simple_present+
grubs	grub	verb:simple_present+
???	grub	verb:simple_past+
???	grub	verb:past_participle+
???	grub	verb:present_participle+
Gesundheit	Gesundheit	interjection
Gdansk	Gdansk	proper noun
glasses	glasses	noun
glottal	glottal	adjective
globe	globe	noun
geography	geography	noun
geology	geology	noun
geologist	geologist	noun
gig	gig	noun
gigs	gig	noun:plural
gig	gig	verb:simple_present+
gigs	gig	verb:simple_present+
???	gig	verb:simple_past+
???	gig	verb:past_participle+
???	gig	verb:present_participle+
gigging	gig	verb:present_participle
gel	gel	noun
gels	gel	noun:plural
gel	gel	verb:simple_present+
gels	gel	verb:simple_present+
???	gel	verb:simple_past+
???	gel	verb:past_participle+
???	gel	verb:present_participle+
gel	gel	noun
gels	gel	noun:plural
geographia	geographia	noun
Gotland	Gotland	proper noun
grandchildren	grandchildren	noun
gradation	gradation	noun
groom	groom	noun
groom	groom	verb:simple_present+
grooms	groom	verb:simple_present+
groomed	groom	verb:simple_past+
groomed	groom	verb:past_participle+
grooming	groom	verb:present_participle+
grunt	grunt	noun
grunts	grunt	noun:plural
grunt	grunt	verb:simple_present+intransitive
grunts	grunt	verb:simple_present+intransitive
grunted	grunt	verb:simple_past+intransitive
grunted	grunt	verb:past_participle+intransitive
grunting	grunt	verb:present_participle+intransitive
guile	guile	noun
gesticulate	gesticulate	verb:simple_present+intransitive
gesticulates	gesticulate	verb:simple_present+intransitive
gesticulated	gesticulate	verb:simple_past+intransitive
gesticulated	gesticulate	verb:past_participle+intransitive
gesticulating	gesticulate	verb:present_participle+intransitive
gesticulate	gesticulate	verb:simple_present+transitive
gesticulates	gesticulate	verb:simple_present+transitive
gesticulated	gesticulate	verb:simple_past+transitive
gesticulated	gesticulate	verb:past_participle+transitive
gesticulating	gesticulate	verb:present_participle+transitive
goose-step	goose-step	noun
goose-step	goose-step	verb:simple_present+
goose-steps	goose-step	verb:simple_present+
???	goose-step	verb:simple_past+
???	goose-step	verb:past_participle+
???	goose-step	verb:present_participle+
goose-stepping	goose-step	verb:present_participle
ghostwriter	ghostwriter	noun
gnome	gnome	noun
gnomon	gnomon	noun
gnomons	gnomon	noun:plural
glutton	glutton	adjective
glutton	glutton	noun
gluttons	glutton	noun:plural
glutton	glutton	verb:simple_present+
gluttons	glutton	verb:simple_present+
gluttoned	glutton	verb:simple_past+
gluttoned	glutton	verb:past_participle+
gluttoning	glutton	verb:present_participle+
gluttoning	glutton	verb:present_participle
guide	guide	noun
guide	guide	verb:simple_present+
guides	guide	verb:simple_present+
guided	guide	verb:simple_past+
guided	guide	verb:past_participle+
guiding	guide	verb:present_participle+
gene	gene	noun
genes	gene	noun:plural
giddyup	giddyup	interjection
genotype	genotype	noun
gateau	gateau	noun
gateaus	gateau	noun:plural
guanine	guanine	noun
goalkeeper	goalkeeper	noun
graphic	graphic	adjective
graphic	graphic	noun
gland	gland	noun
gele	gele	noun
gulag	gulag	noun
grab	grab	verb:simple_present+
grabs	grab	verb:simple_present+
???	grab	verb:simple_past+
???	grab	verb:past_participle+
???	grab	verb:present_participle+
grabbing	grab	verb:present_participle
grab	grab	noun
gum	gum	noun
gums	gum	noun:plural
gum	gum	noun
gums	gum	noun:plural
gateaux	gateaux	noun
greens	greens	noun
grime	grime	noun
gigagram	gigagram	noun
gravy	gravy	noun
gravies	gravy	noun:plural
glider	glider	noun
germ	germ	noun
germicide	germicide	noun
germicides	germicide	noun:plural
George	George	proper noun
Gryffindor	Gryffindor	proper noun
gigasecond	gigasecond	noun
Geneva	Geneva	proper noun
giros	giros	noun
gyros	gyros	noun
Glarus	Glarus	proper noun
Grisons	Grisons	proper noun
geese	geese	noun
glory	glory	noun
glories	glory	noun:plural
gopher	gopher	noun
gatemania	gatemania	noun
gamer	gamer	noun
gameplay	gameplay	noun
grace	grace	noun
grammatica	grammatica	noun
glebe	glebe	proper noun
godly	godly	adjective
godlike	godlike	adjective
glissando	glissando	noun
gook	gook	noun
great-grandmother	great-grandmother	noun
great-grandfather	great-grandfather	noun
galego	galego	proper noun
genitalia	genitalia	noun
gluggy	gluggy	adjective
gnat	gnat	noun
gnat	gnat	proper noun
Germanic	Germanic	noun
Germanic	Germanic	adjective
gib	gib	verb:simple_present+transitive
gibs	gib	verb:simple_present+transitive
???	gib	verb:simple_past+transitive
???	gib	verb:past_participle+transitive
???	gib	verb:present_participle+transitive
gib	gib	noun
gibs	gib	noun:plural
gib	gib	noun
gib	gib	verb:simple_present+transitive
gibs	gib	verb:simple_present+transitive
???	gib	verb:simple_past+transitive
???	gib	verb:past_participle+transitive
???	gib	verb:present_participle+transitive
great-grandson	great-grandson	noun
gong	gong	noun
gai	gai	noun
gai	gai	adjective
godhead	godhead	noun
godhead	godhead	proper noun
golem	golem	noun
golems	golem	noun:plural
ghoul	ghoul	noun
giefu	giefu	noun
geat	geat	noun
gelati	gelati	noun
gray-collar	gray-collar	adjective
green-collar	green-collar	adjective
goddag	goddag	interjection
goof	goof	noun
goof	goof	verb:simple_present+intransitive
goofs	goof	verb:simple_present+intransitive
goofed	goof	verb:simple_past+intransitive
goofed	goof	verb:past_participle+intransitive
goofing	goof	verb:present_participle+intransitive
gent	gent	noun
gents	gent	noun:plural
gizzard	gizzard	noun
guesstimate	guesstimate	noun
guesstimates	guesstimate	noun:plural
guesstimate	guesstimate	verb:simple_present+intransitive
guesstimates	guesstimate	verb:simple_present+intransitive
guesstimated	guesstimate	verb:simple_past+intransitive
guesstimated	guesstimate	verb:past_participle+intransitive
guesstimating	guesstimate	verb:present_participle+intransitive
gigantic	gigantic	adjective
govern	govern	verb:simple_present+
governs	govern	verb:simple_present+
governed	govern	verb:simple_past+
governed	govern	verb:past_participle+
governing	govern	verb:present_participle+
gator	gator	noun
gators	gator	noun:plural
gibber	gibber	verb:simple_present+
gibbers	gibber	verb:simple_present+
???	gibber	verb:simple_past+
???	gibber	verb:past_participle+
???	gibber	verb:present_participle+
gate	gate	noun
gate	gate	verb:simple_present+
gates	gate	verb:simple_present+
gated	gate	verb:simple_past+
gated	gate	verb:past_participle+
gating	gate	verb:present_participle+
gormless	gormless	adjective
gaff	gaff	noun
gaffs	gaff	noun:plural
greenshirt	greenshirt	noun
gentile	gentile	adjective
greenhouse	greenhouse	noun
greenhouses	greenhouse	noun:plural
genou	genou	noun
guma	guma	noun
glof	glof	noun
gristmill	gristmill	noun
glurge	glurge	noun
globular	globular	adjective
girth	girth	noun
girths	girth	noun:plural
gerbil	gerbil	noun
giblets	giblets	noun
gynecologist	gynecologist	noun
genuflect	genuflect	verb:simple_present+
genuflects	genuflect	verb:simple_present+
genuflected	genuflect	verb:simple_past+
genuflected	genuflect	verb:past_participle+
genuflecting	genuflect	verb:present_participle+
gadhelic	gadhelic	adjective
garvana	garvana	noun
garvage	garvage	noun
giant	giant	noun
giants	giant	noun:plural
giant	giant	adjective
gyproc	gyproc	noun
gyproc	gyproc	verb:simple_present+intransitive
gyprocs	gyproc	verb:simple_present+intransitive
???	gyproc	verb:simple_past+intransitive
???	gyproc	verb:past_participle+intransitive
???	gyproc	verb:present_participle+intransitive
gyproc	gyproc	verb:simple_present+
gyprocs	gyproc	verb:simple_present+
???	gyproc	verb:simple_past+
???	gyproc	verb:past_participle+
???	gyproc	verb:present_participle+
gamut	gamut	noun
gentleman	gentleman	noun
glacier	glacier	noun
glaciers	glacier	noun:plural
glazier	glazier	noun
geek	geek	noun
golf	golf	noun
granduncle	granduncle	noun
giraffine	giraffine	adjective
geep	geep	noun
girlfriends	girlfriends	noun
godfather	godfather	noun
godfathers	godfather	noun:plural
godmother	godmother	noun
godmothers	godmother	noun:plural
godson	godson	noun
goddaughter	goddaughter	noun
godchild	godchild	noun
gents	gents	noun
goatee	goatee	noun
granny	granny	noun
grannies	granny	noun:plural
grannie	grannie	noun
grannies	grannie	noun:plural
gesieltan	gesieltan	verb:simple_present+
gesieltans	gesieltan	verb:simple_present+
???	gesieltan	verb:simple_past+
???	gesieltan	verb:past_participle+
???	gesieltan	verb:present_participle+
gynotikolobomassophilia	gynotikolobomassophilia	noun
gassy	gassy	adjective
gallon	gallon	noun
gallons	gallon	noun:plural
grave	grave	adjective
grave	grave	verb:simple_present+
graves	grave	verb:simple_present+
graved	grave	verb:simple_past+
graved	grave	verb:past_participle+
graving	grave	verb:present_participle+
grave	grave	verb:simple_present+transitive
graves	grave	verb:simple_present+transitive
graved	grave	verb:simple_past+transitive
graved	grave	verb:past_participle+transitive
graving	grave	verb:present_participle+transitive
grave	grave	verb:simple_present+intransitive
graves	grave	verb:simple_present+intransitive
graved	grave	verb:simple_past+intransitive
graved	grave	verb:past_participle+intransitive
graving	grave	verb:present_participle+intransitive
